dataPointGuid;sessionId;participantId;taskId;pointInTimeUtc;endPointInTimeUtc;spokenText;confidenceLevel;audioPositionTicks;audioDurationTicks;audioFileName
c23aea14-4739-4e7b-a78a-99f8b55a202a;5;5;1;2021-08-31T19:14:33.9060556Z;2021-08-31T19:14:37.2160556Z;Überichtigt Dorf sie schon gesehen Millionen;0,122767374;36400000;33100000;audio_0.wav
63a882ee-7681-4409-9751-481faf17f34e;5;5;1;2021-08-31T19:14:45.7060556Z;2021-08-31T19:14:46.2460556Z;my;0,116882734;154400000;5400000;audio_0.wav
141566fb-06d0-446f-b02a-89de4b52d4e4;5;5;1;2021-08-31T19:14:54.0160556Z;2021-08-31T19:14:57.7260556Z;etwas schon Jürgen Scharf Stollesinn des Wortes Utl außen;0,0339909643;237500000;37100000;audio_0.wav
2f4b87d8-3f94-4852-b461-ac1b9bfbf76d;5;5;1;2021-08-31T19:15:04.8460556Z;2021-08-31T19:15:06.4160556Z;Stoffe dafür sei schon los;0,0387290642;345800000;15700000;audio_0.wav
433d5758-1aec-47cf-a4bd-da5d9443fbcb;5;5;1;2021-08-31T19:15:21.9260556Z;2021-08-31T19:15:24.2060556Z;gewesen, die ziemlich Glocke;0,0510270447;516600000;22800000;audio_0.wav
3fa5ea24-51f8-467f-b504-8f33c4bc6ad2;5;5;1;2021-08-31T19:15:27.0160556Z;2021-08-31T19:15:29.5160556Z;fertig ist;0,272963;567500000;25000000;audio_0.wav
aad676bd-4aed-4487-8a69-a2e120af13e4;5;5;2;2021-08-31T19:16:08.6090766Z;2021-08-31T19:16:11.2790766Z;Ob diese Orte Symbol gestolpert AO;0,145020917;79000000;26700000;audio_1.wav
34405f37-eaba-46c7-96b0-abe32bb4c2d4;5;5;2;2021-08-31T19:16:12.2090766Z;2021-08-31T19:16:13.8190766Z;Glück ins weniger;0,07151435;115000000;16100000;audio_1.wav
31c5f5a6-8bb9-452d-adda-3c82f61ba9bb;5;5;2;2021-08-31T19:16:20.9890766Z;2021-08-31T19:16:22.1990766Z;O ja;0,0131188966;202800000;12100000;audio_1.wav
8845a54c-b8b5-48b7-a350-c1dc75c4d48c;5;5;2;2021-08-31T19:16:30.5290766Z;2021-08-31T19:16:31.9890766Z;Lattek;0,0135659939;298200000;14600000;audio_1.wav
