sentence;sentiment;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Überichtigt Dorf sie schon gesehen Millionen;Neutral;(4.2, 1.6, -68.4);12788b76-4e3a-4164-a1a5-59cab16ac549;1;5;5;08.31.2021 19:47:44.791
my;Positive;(-28.4, 1.7, -41.7);b1e9d0e7-224e-4fce-b565-9f97e2bb7abe;1;5;5;08.31.2021 19:47:44.791
etwas schon Jürgen Scharf Stollesinn des Wortes Utl außen;Neutral;(-27.0, 1.7, -53.3);c14dc881-4592-4a25-babf-0cabe5ec8e93;1;5;5;08.31.2021 19:47:44.791
Stoffe dafür sei schon los;Neutral;(-28.8, 1.7, -83.5);b634fbd7-eadc-4efa-8d69-e7f3fa91374d;1;5;5;08.31.2021 19:47:44.791
gewesen, die ziemlich Glocke;Negative;(14.3, 1.7, -102.9);b7b8c2fe-1d82-4c0e-a28e-139dce9ebf85;1;5;5;08.31.2021 19:47:44.791
fertig ist;Neutral;(19.5, 1.6, -100.0);1f6506a8-27f3-4944-af6c-0f792e7c022f;1;5;5;08.31.2021 19:47:44.791
Ob diese Orte Symbol gestolpert AO;Neutral;(20.0, 1.7, -48.3);7d39da58-a2dd-45e8-a3f6-033855ebb3b6;2;5;5;08.31.2021 19:47:44.791
Glück ins weniger;Negative;(28.1, 1.7, -50.4);76c9ee7b-cbda-4597-bf95-335fac6a3966;2;5;5;08.31.2021 19:47:44.791
O ja;Positive;(23.9, 1.6, -96.9);984d1d20-2c79-4d7f-a8dc-82dbd31d9049;2;5;5;08.31.2021 19:47:44.791
Lattek;Negative;(-7.3, 1.6, -97.3);392c4cf4-74d7-42a3-adc2-ca94fba1d040;2;5;5;08.31.2021 19:47:44.791
