dataPointGuid;sessionId;participantId;taskId;pointInTimeUtc;endPointInTimeUtc;spokenText;confidenceLevel;audioPositionTicks;audioDurationTicks;audioFileName
b666aa78-9b06-4cdb-9b15-a8bf81e61f7b;1;1;1;2021-08-31T18:53:36.7529802Z;2021-08-31T18:53:39.3529802Z;Was tut den ein schaaf hier, dass ist ja komisch.;1;55800000;26000000;audio_0.wav
5e4783c0-0b67-456e-87dc-4e6ffb25058d;1;1;1;2021-08-31T18:53:53.5129802Z;2021-08-31T18:53:55.5129802Z;hm verwirrend.;1;223400000;20000000;audio_0.wav
f3876d03-85c8-481b-8d31-94a8b587f9f0;1;1;1;2021-08-31T18:53:59.9329802Z;2021-08-31T18:54:02.3929802Z;Die Steine sehen jetzt noicht so realistisch aus.;1;287600000;24600000;audio_0.wav
47551b06-9c8e-4c0d-996a-af50d472fb25;1;1;1;2021-08-31T18:54:08.2529802Z;2021-08-31T18:54:09.3929802Z;Ah cool.;1;370800000;11400000;audio_0.wav
41d236a7-bca7-46a3-8076-75b5e7f40339;1;1;1;2021-08-31T18:54:12.9529802Z;2021-08-31T18:54:14.6629802Z;Oh das Haus ist schön.;1;417800000;17100000;audio_0.wav
be2680ab-bef4-4410-9ad6-3fe15c6303d1;1;1;1;2021-08-31T18:54:16.4229802Z;2021-08-31T18:54:17.6529802Z;Kann man da reingehen.;1;452500000;12300000;audio_0.wav
5cc6ac34-84ab-435b-9beb-e7b925443d52;1;1;1;2021-08-31T18:54:18.7029802Z;2021-08-31T18:54:20.1629802Z;Oh cool nice.;1;475300000;14600000;audio_0.wav
71a475aa-2f6c-40ae-abd0-48f82f9b5a33;1;1;1;2021-08-31T18:54:39.7429802Z;2021-08-31T18:54:41.2029802Z;Das war einfach.;1;685700000;14600000;audio_0.wav
bd8b9528-f1c0-4858-afd6-abfbf2d76359;1;1;2;2021-08-31T18:56:33.2153630Z;2021-08-31T18:56:37.1553630Z;Die sehen zwar simpel aus aber sehr schön eigentlich.;1;80700000;39400000;audio_1.wav
fd34416d-7181-4813-b39e-6757cf25775f;1;1;2;2021-08-31T18:56:54.2753630Z;2021-08-31T18:56:56.1453630Z;Das war ja einfach.;1;291300000;18700000;audio_1.wav
