startOffsetInMs;endOffsetInMs;endPointInTimeUtc;spokenText;confidenceLevel;averageSentiment;endPosition;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
-0,5495;-15,5495;08.31.2021 19:03:48.440;Müller;0,2542586;None;(27.2, 1.7, -48.1);(27.1, 1.7, -48.0);c5525350-099c-4e53-b652-8ee2ca76722f;1;4;4;08.31.2021 19:03:47.700
-2,5495;-13,5495;08.31.2021 19:03:51.790;interessanter;0,04594095;None;(35.1, 1.6, -56.9);(35.1, 1.6, -56.7);6ae376c8-9450-4e77-a520-86a7406ddda6;1;4;4;08.31.2021 19:03:50.460
-7,5495;-19,5495;08.31.2021 19:03:53.700;U;0,214252;None;(34.9, 1.7, -56.6);(34.9, 1.7, -56.5);298e99e9-6550-4637-bba4-526388bda27e;1;4;4;08.31.2021 19:03:52.820
7,4505;17,4505;08.31.2021 19:03:59.080;unter seinem schroff;0,07435653;None;(10.1, 1.6, -70.0);(17.2, 1.7, -72.3);2b676743-9840-46fc-a448-f9528ea8c6de;1;4;4;08.31.2021 19:03:57.790
10,4505;-0,5495;08.31.2021 19:04:01.120;Zirkel zur;0,1429148;None;(2.3, 1.7, -68.9);(7.3, 1.6, -68.8);648912be-3e71-4e20-ac89-e39de89d4591;1;4;4;08.31.2021 19:03:59.940
0,4505;-6,5495;08.31.2021 19:04:05.220;rundum Instanz;0,07903626;None;(-4.0, 1.7, -86.8);(-1.6, 1.7, -73.5);ce0a097b-667c-41cd-8434-81f91b4f0c14;1;4;4;08.31.2021 19:04:03.860
20,4505;-8,5495;08.31.2021 19:04:11.520;beschoss die blockt;0,0256546;None;(-11.6, 1.7, -94.1);(-7.4, 1.7, -95.6);d671c44b-ba52-474a-b4e7-f297d045ce20;1;4;4;08.31.2021 19:04:10.340
-15,5495;-11,5495;08.31.2021 19:04:18.420;fertig;0,1199605;None;(-21.3, 1.5, -85.3);(-21.3, 1.6, -85.3);b7443dc1-fa7a-4c3f-9ae3-9417e7b9f8f5;1;4;4;08.31.2021 19:04:17.550
-11,5495;-6,5495;08.31.2021 19:04:20.180;wird;0,3916043;None;(-21.0, 1.2, -85.3);(-21.1, 1.2, -85.3);9b08f29d-2812-444a-91a8-0b0ebef7a3ff;1;4;4;08.31.2021 19:04:19.440
5,4465;-8,5535;08.31.2021 19:04:53.760;Wenn;0,1436551;None;(-5.3, 1.7, -65.1);(0.1, 1.7, -61.7);f4f9bf15-f2a8-4c28-972e-4839ae8b001d;2;4;4;08.31.2021 19:04:53.190
2,4465;-1,5535;08.31.2021 19:05:02.780;im Stande sind auch unsere Gruppe Oster;0,2039318;None;(-21.4, 1.7, -41.0);(-22.1, 1.7, -47.9);efe8a11e-fac4-43b4-bac4-9ae1f0ec9528;2;4;4;08.31.2021 19:05:00.120
-2,5535;-14,5535;08.31.2021 19:05:09.820;suggestiver würden Schüler Scherz ganz ruhig im;0,0916414;None;(-29.7, 1.7, -50.4);(-31.7, 1.7, -41.9);9a6b0727-bfd5-4176-9ebe-7e835f184f43;2;4;4;08.31.2021 19:05:06.180
15,4465;-11,5535;08.31.2021 19:05:14.760;Walde getrost;0,03228615;None;(-14.9, 1.7, -66.2);(-31.8, 1.7, -62.6);7ba6b91e-192a-4481-a457-646634d26732;2;4;4;08.31.2021 19:05:13.500
7,4465;2,4465;08.31.2021 19:05:20.820;Adumim alles wieder;0,17096;None;(-21.2, 1.6, -83.3);(-12.3, 1.7, -79.7);02fbc1da-078f-416e-bc37-94c4eb67d79c;2;4;4;08.31.2021 19:05:18.970
11,4465;-0,5535;08.31.2021 19:05:28.000;in;0,2817098;None;(-32.1, 1.7, -100.3);(-32.2, 1.7, -100.3);298d32a5-b1b1-4df9-ad90-2ffe402059ff;2;4;4;08.31.2021 19:05:27.640
4,4465;-1,5535;08.31.2021 19:05:31.000;Zoos möglichen aus Pullach eingeengt;0,05516703;None;(-28.1, 1.7, -103.5);(-28.1, 1.7, -103.8);909cb380-156e-4a66-ab82-e8c40a54eacf;2;4;4;08.31.2021 19:05:28.730
-4,5535;-4,5535;08.31.2021 19:05:33.000;und einem neues;0,1421073;None;(-22.1, 2.5, -100.2);(-22.0, 2.4, -100.2);ab8e773a-54fe-456a-ba63-e18346ea6c41;2;4;4;08.31.2021 19:05:31.680
11,4465;-1,5535;08.31.2021 19:05:55.890;desto einfacher;0,1522178;None;(20.7, 1.5, -100.3);(20.8, 1.6, -100.0);bacb45a3-adb3-482d-a5eb-88c4945afc7c;2;4;4;08.31.2021 19:05:53.840
