dataPointGuid;sessionId;participantId;taskId;pointInTimeUtc;endPointInTimeUtc;spokenText;confidenceLevel;audioPositionTicks;audioDurationTicks;audioFileName
ae2d7c98-d536-4966-a362-a2a9f95903e9;2;2;1;2021-08-31T18:57:33.3029207Z;2021-08-31T18:57:34.7729207Z;Angeschaffte Uluru;0,07882737;65600000;14700000;audio_0.wav
eb20beea-7099-4b5a-b2ed-b9ed3f5d30db;2;2;1;2021-08-31T18:57:43.1429207Z;2021-08-31T18:57:43.8829207Z;M;0,4356527;164000000;7400000;audio_0.wav
962ef895-7055-4e18-be06-9ebcbcd82020;2;2;1;2021-08-31T18:57:46.8629207Z;2021-08-31T18:57:48.6729207Z;etwas Firmen Schüler und;0,1591129;201200000;18100000;audio_0.wav
84685f9a-005c-4232-bdf8-ef5599bb8890;2;2;1;2021-08-31T18:57:51.9929207Z;2021-08-31T18:57:53.4829207Z;logische und School of;0,169314086;252500000;14900000;audio_0.wav
78f864f2-5070-4c7a-a1b1-45debcaddfd6;2;2;1;2021-08-31T18:57:58.8629207Z;2021-08-31T18:58:00.0729207Z;a u. a. mit rund;0,297250181;321200000;12100000;audio_0.wav
30f2bb94-4d9c-435c-8de9-708cfd0617ec;2;2;1;2021-08-31T18:58:20.6629207Z;2021-08-31T18:58:22.2729207Z;sehr blutiger Lusser;0,06428647;539200000;16100000;audio_0.wav
c0c1d193-051b-4507-a535-5631af275119;2;2;1;2021-08-31T18:58:30.0529207Z;2021-08-31T18:58:31.6429207Z;tt f. ergibt;0,297466934;633100000;15900000;audio_0.wav
03dc15c2-bb08-4d3a-a466-47d8945b9f29;2;2;2;2021-08-31T18:59:59.7786109Z;2021-08-31T19:00:00.3086109Z;Rühe;0,0285260379;494800000;5300000;audio_1.wav
5ee60767-5113-4d7a-9fb1-9569fb3bbbd8;2;2;2;2021-08-31T19:00:00.3086109Z;2021-08-31T19:00:04.0086109Z;habe so Sinne Uhr MEU Lust zu Schorsch;0,0116486;500100000;37000000;audio_1.wav
77e138a3-8287-4631-b290-0cb33aa87790;2;2;2;2021-08-31T19:00:18.0886109Z;2021-08-31T19:00:19.7186109Z;dass solche Einrichtungen;0,109771982;677900000;16300000;audio_1.wav
