sentence;sentiment;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Angeschaffte Uluru;Negative;(6.6, 1.6, -68.1);6aa36c38-67ca-4c25-be3f-9a13168e4587;1;2;2;08.31.2021 19:44:12.111
M;Positive;(-14.8, 1.7, -51.8);16e7410c-dbc3-41ed-8a3a-dc16596691e2;1;2;2;08.31.2021 19:44:12.111
etwas Firmen Schüler und;Neutral;(-21.1, 1.7, -41.2);08f921d2-daf2-49a6-9a03-16618cf109d0;1;2;2;08.31.2021 19:44:12.111
logische und School of;Positive;(-31.2, 1.7, -51.8);2983d569-29c7-4ebf-bebb-c9da8702c0f5;1;2;2;08.31.2021 19:44:12.111
a u. a. mit rund;Positive;(-15.0, 1.7, -65.5);3e828cd6-f768-4686-90f8-f15d52c3b922;1;2;2;08.31.2021 19:44:12.111
sehr blutiger Lusser;Negative;(12.4, 1.7, -103.3);6ddeaeeb-c08f-45ef-9fb9-9a3bcdbbc56f;1;2;2;08.31.2021 19:44:12.111
tt f. ergibt;Negative;(18.7, 1.7, -100.0);c6cc49c7-17b4-4faf-9e5e-390b7baa18fc;1;2;2;08.31.2021 19:44:12.111
Rühe;Negative;(30.4, 1.7, -54.8);cd6bc2e4-a250-4f16-81d9-5576652de1af;2;2;2;08.31.2021 19:44:12.111
habe so Sinne Uhr MEU Lust zu Schorsch;Neutral;(30.4, 1.7, -54.8);b0ce7bc7-b143-4c54-aeb2-7886b63359bd;2;2;2;08.31.2021 19:44:12.111
dass solche Einrichtungen;Neutral;(-7.2, 1.6, -97.6);9dfd1add-9ec4-4f02-876e-eefaf068db42;2;2;2;08.31.2021 19:44:12.111
