startOffsetInMs;endOffsetInMs;endPointInTimeUtc;spokenText;confidenceLevel;averageSentiment;endPosition;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
-3,9207;18,0793;08.31.2021 18:57:34.772;Angeschaffte Uluru;0,07882737;None;(6.6, 1.6, -68.1);(6.6, 1.6, -68.1);ae2d7c98-d536-4966-a362-a2a9f95903e9;1;2;2;08.31.2021 18:57:33.302
-13,9207;13,0793;08.31.2021 18:57:43.882;M;0,4356527;None;(-21.2, 1.7, -48.4);(-14.8, 1.7, -51.8);eb20beea-7099-4b5a-b2ed-b9ed3f5d30db;1;2;2;08.31.2021 18:57:43.142
0,0793;12,0793;08.31.2021 18:57:48.672;etwas Firmen Schüler und;0,1591129;None;(-32.3, 1.7, -42.5);(-21.1, 1.7, -41.2);962ef895-7055-4e18-be06-9ebcbcd82020;1;2;2;08.31.2021 18:57:46.862
-9,9207;7,0793;08.31.2021 18:57:53.482;logische und School of;0,1693141;None;(-31.1, 1.7, -51.8);(-31.2, 1.7, -51.8);84685f9a-005c-4232-bdf8-ef5599bb8890;1;2;2;08.31.2021 18:57:51.992
4,0793;3,0793;08.31.2021 18:58:00.072;a u. a. mit rund;0,2972502;None;(-7.7, 1.7, -67.5);(-15.0, 1.7, -65.5);78f864f2-5070-4c7a-a1b1-45debcaddfd6;1;2;2;08.31.2021 18:57:58.862
-6,9207;-6,9207;08.31.2021 18:58:22.272;sehr blutiger Lusser;0,06428647;None;(16.9, 1.7, -102.9);(12.4, 1.7, -103.3);30f2bb94-4d9c-435c-8de9-708cfd0617ec;1;2;2;08.31.2021 18:58:20.662
-9,9207;6,0793;08.31.2021 18:58:31.642;tt f. ergibt;0,2974669;None;(18.7, 1.5, -100.0);(18.7, 1.7, -100.0);c0c1d193-051b-4507-a535-5631af275119;1;2;2;08.31.2021 18:58:30.052
-3,6109;-0,6109;08.31.2021 19:00:00.308;Rühe;0,02852604;None;(30.4, 1.7, -54.8);(30.4, 1.7, -54.8);03dc15c2-bb08-4d3a-a466-47d8945b9f29;2;2;2;08.31.2021 18:59:59.778
-0,6109;11,3891;08.31.2021 19:00:04.008;habe so Sinne Uhr MEU Lust zu Schorsch;0,0116486;None;(35.6, 1.6, -57.8);(30.4, 1.7, -54.8);5ee60767-5113-4d7a-9fb1-9569fb3bbbd8;2;2;2;08.31.2021 19:00:00.308
0,3891;-5,6109;08.31.2021 19:00:19.718;dass solche Einrichtungen;0,109772;None;(-7.1, 1.5, -97.5);(-7.2, 1.6, -97.6);77e138a3-8287-4631-b290-0cb33aa87790;2;2;2;08.31.2021 19:00:18.088
