startOffsetInMs;endOffsetInMs;endPointInTimeUtc;spokenText;confidenceLevel;averageSentiment;endPosition;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
-15,1543;-13,1543;08.31.2021 19:09:02.987;Anschaffen U;0,1497297;None;(5.2, 1.7, -65.8);(5.1, 1.7, -65.9);8e4421d5-04cc-4f5d-a10d-bc6ad4564ff1;1;3;3;08.31.2021 19:09:01.767
20,8457;11,8457;08.31.2021 19:09:10.557;stammende soll mich so detaillierter;0,1107928;None;(-24.7, 1.7, -40.2);(-22.2, 1.7, -48.3);3c6c1fba-40a0-42dd-84a5-221ff81172bf;1;3;3;08.31.2021 19:09:08.007
-2,1543;19,8457;08.31.2021 19:09:13.227;wird mittels einiger und;0,1443523;None;(-31.5, 1.7, -42.2);(-24.6, 1.7, -40.3);ec56adad-b8f6-451c-b4bb-b02925f09c84;1;3;3;08.31.2021 19:09:11.287
-1,1543;10,8457;08.31.2021 19:09:18.977;M;0,3028306;None;(-27.0, 1.6, -63.6);(-34.0, 1.7, -61.1);ca695a3a-9ea5-49a9-84be-0ab49c0a6366;1;3;3;08.31.2021 19:09:18.037
-5,1543;11,8457;08.31.2021 19:09:29.107;V zu schön;0,1516496;None;(-33.4, 1.7, -96.5);(-31.8, 1.7, -92.2);62bce802-2f9f-433a-b287-4b7f3c18b00b;1;3;3;08.31.2021 19:09:27.957
-2,1543;-7,1543;08.31.2021 19:09:32.367;Kunden in;0,07672343;None;(-21.8, 2.5, -101.5);(-28.4, 1.7, -103.1);881cd57e-974c-420c-9e8e-45530d9ea8f7;1;3;3;08.31.2021 19:09:31.197
-1,1543;11,8457;08.31.2021 19:09:34.847;Kohle;0,3514173;None;(-24.2, 2.4, -101.1);(-17.6, 2.5, -104.0);9690c5e7-d33b-4188-8a51-c714fe16a99e;1;3;3;08.31.2021 19:09:34.237
-5,1543;-6,1543;08.31.2021 19:09:51.757;Fertigkeiten;0,175213;None;(20.0, 1.4, -99.8);(20.0, 1.6, -99.8);9ed3446f-d439-46f0-9e81-3bd15ff3dbd5;1;3;3;08.31.2021 19:09:50.157
-9,6488;-12,6488;08.31.2021 19:10:24.217;Das;0,568082;None;(2.4, 1.5, -41.7);(2.4, 1.3, -41.7);6b69ae69-e2d0-4894-834a-720791899b0b;2;3;3;08.31.2021 19:10:23.427
12,3512;10,3512;08.31.2021 19:10:34.257;sind immerhin war;0,07654513;None;(19.2, 1.7, -48.6);(8.4, 1.7, -53.4);cc850d9d-52b9-4de3-b33d-878e5868a22a;2;3;3;08.31.2021 19:10:32.567
13,3512;4,3512;08.31.2021 19:10:37.717;auch ganz schön die tönte;0,2186616;None;(35.3, 1.6, -56.7);(28.5, 1.7, -50.0);3b3c9199-8c26-4425-973c-8607d63ee2cd;2;3;3;08.31.2021 19:10:35.617
-5,6488;1,3512;08.31.2021 19:10:41.417;zuzusehen Bürger trotz stünden;0,07444509;None;(30.3, 1.7, -60.3);(35.1, 1.7, -56.5);fd7f2684-4e2e-4479-a368-fb444c485701;2;3;3;08.31.2021 19:10:39.547
14,3512;-8,6488;08.31.2021 19:11:01.927;desto einfacher;0,1862294;None;(-21.4, 1.5, -84.9);(-21.5, 1.6, -84.8);9365ae49-b933-41ca-a699-d1895cf8c01d;2;3;3;08.31.2021 19:10:59.847
